first_name,middle_name,last_name,email,do_not_call,p2ptext_optout,mobile_phone,home_phone,work_phone,best_phone,join_date,xdate,membership_status,memb_status_letter,membership_type,monthly_dues_status,yearly_dues_status,union_member,union_name,union_local,accomodations,race,student_yes_no,student_school_name,mailing_pref,actionkit_id,dsa_chapter,ydsa_chapter,congressional_district,address1,address2,city,state,zip,country,lat,lon
Lisa,,Chambers,michaelcook@example.com,,,616-409-9027,923-872-9232,,616-409-9027,2019-08-30,2023-02-18,Member,M,yearly,canceled_by_admin,canceled_by_processor,"No, but former union member",,,,White / of European Descent,"Yes, high school student",CLOVIS HS FRESHMAN ACADEMY,Yes,667375,San Francisco,,ME_01,8841 Christopher Ranch,Suite 588,New Christian,MT,94130,US,,
Larry,,Barton,justinvargas@example.com,,,8513814616,,,8513814616,2021-03-12,2024-07-14,Member in Good Standing,M,monthly,canceled_by_admin,canceled_by_failure,,,,,Other,"Yes, high school student",Holbrook High School,Yes,67744,San Francisco,,ME_02,98848 Barnes Knolls,Suite 602,New Holly,AL,94162,US,,
Shelly,Jacqueline.,Massey,jenniferlester@example.org,,,9122154894,(880)209-0550,,9122154894,2020-07-31,2023-10-08,Member,M,annual,canceled_by_processor,never,"Yes, retired union member",NEA,4360,,Hispanic / Latinx,,,No,830483,San Francisco,,ME_01,7449 James Ferry,Suite 191,New Donna,MO,94135,US,,
Paul,,Ball,brookewarren@example.net,True,,,(863)933-4740,,(863)933-4740,2022-12-12,2024-12-21,Member in Good Standing,M,one-time,past_due,canceled_by_admin,"No, not a union member",,,,Hispanic / Latinx,"Yes, college student",CLARK ACADEMY,Yes,758999,San Francisco,,ME_01,7155 Ortega Ridge,Suite 475,Port Allison,GA,94124,US,,
Trevor,Kenneth.,Davidson,xluna@example.com,,,5386302273,9413009192,,5386302273,2017-02-12,2024-09-28,Member in Good Standing,M,income-based,canceled_by_admin,never,Currently organizing my workplace,,,,Pacific Islander,"Yes, high school student",PINE CITY ELEMENTARY,Membership card only,646175,San Francisco,,ME_02,4526 Sarah Inlet,Apt. 865,Michaelborough,OH,94109,US,,
Daniel,,Richardson,travisrussell@example.net,,,2577018495,,,2577018495,2016-12-23,2018-06-04,Lapsed,L,income-based,canceled_by_failure,never,Currently organizing my workplace,,,,Other,,,Yes,58638,San Francisco,,ME_01,114 Carson Brooks,Suite 152,Stephaniemouth,KY,94137,US,,
Martin,,Harris,friedmanangela@example.org,,,,,,,2021-09-15,2023-05-16,Member,M,yearly,lapsed,,"Yes, current union member",IBEW,3194,,White / of European Descent,"Yes, high school student",Lake Ridge New Tech Middle School,Membership card only,668089,San Francisco,,ME_01,99224 Burton Glen,Suite 073,Millershire,IL,94162,US,,
Ryan,,Moreno,ksmith@example.com,,,5023843746,,,5023843746,2017-12-02,2023-10-03,Member,M,monthly,canceled_by_admin,,"Yes, current union member",,1966,,Pacific Islander,,,No,797384,San Francisco,,ME_01,76869 Fields Squares,Suite 128,Wellstown,MT,94121,US,,
Cheryl,,Hernandez,gsanchez@example.org,,TRUE,(313)605-7460,901-665-3654,,(313)605-7460,2021-06-09,2023-03-14,Member,M,income-based,canceled_by_failure,canceled_by_failure,"Yes, current union member",LIUNA,156,,West Asian / Middle Eastern,,,Yes,912083,San Francisco,,ME_01,20236 Bell Roads,Apt. 258,Port Paige,VT,94103,US,,
Daniel,,Lewis,browndonald@example.net,,,,,,,2018-08-21,2019-09-12,Lapsed,L,income-based,lapsed,canceled_by_failure,Currently organizing my workplace,,,,Jewish,No,,Membership card only,344390,San Francisco,,ME_01,29500 Mathew Groves,Apt. 176,Abigailberg,AR,94151,US,,
Matthew,,Spencer,carterfaith@example.net,,,,(276)905-2101,,(276)905-2101,2017-06-28,2023-10-22,Member,M,yearly,past_due,canceled_by_user,"No, not a union member",,,,Prefer Not to Say,,,Membership card only,956767,San Francisco,,ME_02,57437 Thomas Parkway,Apt. 574,Williamsmouth,SD,94161,US,,
Brittany,,Erickson,hinesmark@example.net,,TRUE,,(653)886-9286,,(653)886-9286,2019-12-22,2023-06-22,Member,M,yearly,canceled_by_admin,never,,,,,Jewish,"Yes, college student",L E Willson Elementary School,Yes,384289,San Francisco,,ME_02,8403 Timothy Fall,Suite 545,West Timothy,AS,94121,US,,
Courtney,,Calhoun,elizabethcollins@example.com,,,(738)715-6616,,,(738)715-6616,2023-01-22,2024-04-16,Member in Good Standing,M,one-time,lapsed,never,"No, not a union member",,,,Prefer Not to Say,"Yes, high school student",Davis Drive Elementary,No,255620,San Francisco,,ME_02,99451 Ryan Motorway,Suite 646,New Ryanstad,GU,94111,US,,
Janet,Heidi.,Nelson,tracietodd@example.org,,,4907230350,444-276-2254,,4907230350,2016-12-15,2022-03-30,Lapsed,L,annual,past_due,never,"Yes, current union member",AFT,5929,,Asian,,,No,224065,San Francisco,,ME_02,6943 Carroll Islands,Suite 688,Loganchester,NC,94140,US,,
Jonathon,,Clark,josephlutz@example.org,,,,(831)586-4824,,(831)586-4824,2022-04-03,2024-03-04,Member in Good Standing,M,monthly,past_due,never,"No, but former union member",,,,Jewish,"Yes, high school student",Madison Middle School,Yes,550832,San Francisco,,ME_01,44447 Barron Valleys,Suite 645,North Pamela,NV,94172,US,,
Rhonda,,Perez,kristinakelly@example.org,,,(844)532-4078,(835)504-7022,,(844)532-4078,2021-11-29,2024-02-18,Member in Good Standing,M,yearly,canceled_by_processor,canceled_by_failure,"No, but former union member",,,,Other,No,,Yes,690274,San Francisco,,ME_01,791 Day Port,Apt. 144,Fergusonside,PA,94111,US,,
Fernando,,Brown,jonesgabriela@example.org,,,715-674-2949,,,715-674-2949,2018-10-26,2020-03-09,Lapsed,L,one-time,lapsed,never,"No, but former union member",,,,Hispanic / Latinx,,,Yes,329518,San Francisco,,ME_01,80773 Donna Island,Apt. 654,Hodgeston,FM,94143,US,,
Ariana,,Hawkins,christopher90@example.net,,,5935460237,788-241-8073,,5935460237,2023-06-02,2025-04-24,Member in Good Standing,M,one-time,lapsed,canceled_by_user,"Yes, current union member",Teamsters,5449,,Prefer Not to Say,"Yes, high school student",Bragg Middle School,Yes,940121,San Francisco,,ME_02,19139 Garrison Glen,Suite 661,North Rebecca,MT,94109,US,,
Matthew,,Estrada,drew42@example.net,,,,,,,2018-09-05,2022-02-12,Lapsed,L,annual,past_due,canceled_by_failure,"No, not a union member",,,,Pacific Islander,"Yes, high school student",Laurel Oaks Behavioral Health Center,Membership card only,43516,San Francisco,,ME_01,93834 Jacob Trace,Suite 469,Donnastad,KY,94138,US,,
Deanna,Crystal,Cummings,dawn25@example.com,,,(279)634-2967,,,(279)634-2967,2020-08-09,2024-09-03,Member in Good Standing,M,income-based,canceled_by_admin,active,"Yes, retired union member",AFSCME,2862,,Hispanic / Latinx,"Yes, college student",BRUNDRETT MIDDLE,Yes,288388,San Francisco,,ME_01,50827 Mendoza Bridge,Suite 202,South Nicholas,NV,94103,US,,
Aaron,,Rhodes,kevinreynolds@example.org,,,910-719-4905,,,910-719-4905,2017-10-27,2018-11-13,Lapsed,L,annual,past_due,canceled_by_failure,"Yes, retired union member",Teamsters,2599,,Other,"Yes, college student",Burns Park Elementary School,No,662365,San Francisco,,ME_02,8448 Castaneda Summit,Apt. 532,North Lisafurt,RI,94159,US,,
Joel,,Aguirre,keithwatkins@example.org,,,,(693)766-2227,,(693)766-2227,2021-06-03,2024-11-07,Member in Good Standing,M,yearly,canceled_by_failure,,"No, but former union member",,,,Pacific Islander,"Yes, high school student",HORIZON MIDDLE SCHOOL,Membership card only,118655,San Francisco,,ME_02,6859 Sara Orchard,Suite 921,South Richard,CT,94142,US,,
Joseph,,Miller,romerocody@example.com,,,7504409796,,,7504409796,2021-12-09,2023-04-04,Member,M,annual,past_due,canceled_by_failure,Currently organizing my workplace,,,,Hispanic / Latinx,No,,Yes,801870,San Francisco,,ME_01,19102 Manning Squares,Apt. 118,Valdezmouth,NY,94160,US,,
Danielle,,Ross,cassandra54@example.org,,,473-326-3714,,,473-326-3714,2018-12-11,2023-07-04,Member,M,income-based,canceled_by_failure,canceled_by_processor,"No, but former union member",,,,Native American / Indigenous,"Yes, high school student",Albion Elementary School,Membership card only,590845,San Francisco,,ME_02,71983 Nicole Oval,Apt. 127,West Allison,KY,94121,US,,
Melissa,David,Brown,johnorr@example.org,,,626-671-0025,8669197814,,626-671-0025,2023-09-19,2025-01-16,Member in Good Standing,M,monthly,active,canceled_by_admin,"Yes, retired union member",Teamsters,2582,,West Asian / Middle Eastern,No,,Yes,314318,San Francisco,,ME_01,011 Chapman Lane,Suite 107,Shermanfort,MA,94146,US,,
Jason,,Reid,jacksonwilliam@example.com,,,,6533512096,,6533512096,2023-09-30,2025-09-21,Member in Good Standing,M,income-based,lapsed,canceled_by_failure,"No, not a union member",,,,Black / of African Descent,,,Membership card only,700503,San Francisco,,ME_02,157 Gabriela Plaza,Suite 832,Roseborough,VT,94121,US,,
Samantha,,Gay,wrightsandra@example.net,,,,,,,2023-07-18,2025-03-21,Member in Good Standing,M,annual,canceled_by_processor,canceled_by_processor,"Yes, retired union member",UFCW,4201,,Hispanic / Latinx,"Yes, high school student",Kentwood High Magnet School,Yes,733684,San Francisco,,ME_02,350 Tiffany Common,Apt. 274,Joannatown,NY,94188,US,,
Brooke,,Brown,ubarrett@example.com,,,6363623184,6148053248,,6363623184,2020-05-17,2023-11-17,Member,M,yearly,canceled_by_admin,,"No, not a union member",,,,Black / of African Descent,"Yes, graduate student",Harriet Gifford Elem School,Yes,583441,San Francisco,,ME_02,26813 Fleming Pike,Suite 188,Lynnstad,TN,94120,US,,
Jason,Cheryl,Bauer,monicaholmes@example.org,,,6459410937,,,6459410937,2020-11-07,2022-05-15,Lapsed,L,yearly,canceled_by_failure,canceled_by_admin,"Yes, current union member",Teamsters,1770,,Hispanic / Latinx,,,Membership card only,507884,San Francisco,,ME_01,3276 Vargas Drive,Suite 033,Stevenside,ND,94129,US,,
James,,Cabrera,whitemichele@example.net,,,,,,,2018-02-03,2024-08-27,Member in Good Standing,M,monthly,past_due,never,"Yes, retired union member",LIUNA,607,,Native American / Indigenous,No,,Membership card only,427746,San Francisco,,ME_01,26552 Morris Key,Apt. 440,Christinafurt,MS,94162,US,,
Michelle,,Long,alawson@example.net,,,5417455759,,,5417455759,2019-11-09,2020-11-17,Lapsed,L,one-time,canceled_by_admin,canceled_by_failure,"No, but former union member",,,,Hispanic / Latinx,"Yes, college student",Hot Springs High School,No,987457,San Francisco,,ME_01,4584 Odom Grove,Suite 511,Tashaview,CT,94153,US,,
John,,Miller,paulhughes@example.com,,TRUE,,767-938-0919,,767-938-0919,2017-05-10,2021-07-05,Lapsed,L,income-based,canceled_by_failure,canceled_by_processor,Currently organizing my workplace,,,,West Asian / Middle Eastern,,,No,702499,San Francisco,,ME_01,0195 Oneill Fall,Suite 129,New Jermaine,WI,94124,US,,
Christopher,Kelly.,Perez,ydiaz@example.com,,,,,,,2018-09-19,2020-01-26,Lapsed,L,yearly,lapsed,never,"No, but former union member",,,,Native American / Indigenous,"Yes, college student",Crockett County High School,Membership card only,926565,San Francisco,,ME_01,326 Green Manors,Suite 414,Martinezland,HI,94129,US,,
Michael,,Carr,qsanders@example.org,,,503-744-0023,,,503-744-0023,2018-01-14,2019-10-19,Lapsed,L,income-based,canceled_by_processor,canceled_by_admin,"No, but former union member",,,,Other,"Yes, graduate student",Thomas Sharp Elementary School,Membership card only,375111,San Francisco,,ME_01,418 Walton Ports,Apt. 517,West Elizabeth,LA,94146,US,,
Michael,,Wilson,wellsjustin@example.com,,,,,,,2021-02-18,2023-08-14,Member,M,one-time,canceled_by_admin,,"Yes, retired union member",SEIU,4606,,Hispanic / Latinx,"Yes, graduate student",Beaver Island Community School,Membership card only,274290,San Francisco,,ME_01,90611 Rhonda Hills,Apt. 542,North Antonio,ID,94131,US,,
Craig,,Fox,cynthiamckinney@example.net,,,482-846-7990,6594302039,,482-846-7990,2021-03-12,2023-03-10,Member,M,yearly,canceled_by_failure,never,"Yes, current union member",IBEW,2825,,Asian,,,Membership card only,772247,San Francisco,,ME_02,539 Michael Expressway,Apt. 637,Tonychester,MD,94144,US,,
Steven,Russell,Sandoval,jasonrogers@example.com,,,,,,,2016-07-11,2019-04-09,Lapsed,L,one-time,canceled_by_failure,,"Yes, current union member",IBEW,1618,,Native American / Indigenous,No,,Membership card only,189828,San Francisco,,ME_02,212 Juan Gateway,Apt. 432,Mccoymouth,OH,94133,US,,
Christina,,Neal,natasha43@example.com,,TRUE,(681)510-7486,,,(681)510-7486,2017-05-02,2018-08-31,Lapsed,L,yearly,canceled_by_processor,,,,,,Jewish,"Yes, high school student",Kent Career Tech Center,Membership card only,879936,San Francisco,,ME_01,186 Miller Street,Suite 093,Tylerburgh,PR,94111,US,,
Gene,,Smith,butlerjessica@example.org,,,(809)748-6017,,,(809)748-6017,2016-08-01,2019-11-30,Lapsed,L,annual,canceled_by_processor,canceled_by_failure,"No, not a union member",,,,West Asian / Middle Eastern,"Yes, graduate student",BEULAH ELEMENTARY SCHOOL,Yes,204998,San Francisco,,ME_02,20176 Courtney Highway,Suite 721,New Lisaville,LA,94136,US,,
Keith,,Weeks,gcollins@example.org,True,,(581)820-1652,,,(581)820-1652,2023-07-20,2025-06-14,Member in Good Standing,M,annual,canceled_by_failure,canceled_by_user,"Yes, retired union member",UFCW,1408,,Jewish,"Yes, high school student",JACK ROBEY JR. HIGH SCHOOL,No,112429,San Francisco,,ME_02,0926 Perry Parkways,Apt. 217,Cabrerachester,AL,94162,US,,
Scott,,Green,crawforddonna@example.net,,,8343051879,2337670576,,8343051879,2019-05-05,2021-01-15,Lapsed,L,monthly,lapsed,never,"No, not a union member",,,,Hispanic / Latinx,"Yes, college student",Northeast East Elementary School,No,846754,San Francisco,,ME_01,01813 Serrano Court,Apt. 012,North Kenneth,NE,94103,US,,
Nicholas,Amy.,Copeland,carol42@example.com,,,,,,,2021-09-18,2023-04-20,Member,M,monthly,canceled_by_failure,,"Yes, retired union member",Teamsters,504,,Prefer Not to Say,"Yes, high school student",SOUTHEAST ES,Yes,943946,San Francisco,,ME_01,081 Mary Hills,Suite 669,New Joshuabury,VI,94163,US,,
Emily,,Levy,kimosborne@example.com,,,(448)540-4995,,,(448)540-4995,2022-08-09,2024-11-03,Member in Good Standing,M,annual,active,never,"Yes, current union member",UAW,1558,,Jewish,"Yes, high school student",Harmon Elementary School,Membership card only,720030,San Francisco,,ME_02,2532 Sara Cove,Apt. 504,South Jennaport,NV,94137,US,,
Stephen,,White,tayloreric@example.net,,,7794382311,,,7794382311,2017-06-25,2023-10-24,Member,M,income-based,canceled_by_admin,never,"Yes, current union member",,2577,,West Asian / Middle Eastern,No,,No,475310,San Francisco,,ME_02,606 Amber Tunnel,Suite 104,New Lori,FM,94117,US,,
Daniel,William,Lucas,timothybaker@example.org,,,5228845988,(753)486-0114,,5228845988,2021-04-15,2024-03-29,Member in Good Standing,M,yearly,canceled_by_failure,active,"Yes, retired union member",USW,994,,West Asian / Middle Eastern,No,,Yes,727251,San Francisco,,ME_02,36846 Hayes Locks,Apt. 275,New Janeshire,ME,94160,US,,
Benjamin,,Martinez,chadford@example.org,,TRUE,505-404-5322,,,505-404-5322,2021-07-02,2022-07-20,Lapsed,L,income-based,past_due,,Currently organizing my workplace,,,,White / of European Descent,,,No,777607,San Francisco,,ME_01,229 Winters Row,Suite 362,Rhondafort,AL,94125,US,,
Brian,,Allen,danieltammy@example.com,,,,,,,2020-08-01,2024-08-30,Member in Good Standing,M,income-based,canceled_by_admin,canceled_by_user,"No, not a union member",,,,Jewish,"Yes, high school student",Holmes Middle School,No,340758,San Francisco,,ME_02,9965 Weiss Mews,Apt. 872,Jessicashire,VT,94156,US,,
Kayla,,Khan,carol07@example.com,,,,346-754-6339,,346-754-6339,2022-08-02,2024-06-26,Member in Good Standing,M,income-based,lapsed,canceled_by_user,"No, but former union member",,,,Pacific Islander,,,Yes,546821,San Francisco,,ME_02,695 Cox Centers,Suite 841,Jonesborough,MA,94126,US,,
Colleen,,Smith,pamelasalazar@example.com,,,(204)682-1688,790-540-2632,,(204)682-1688,2017-05-11,2019-11-05,Lapsed,L,annual,lapsed,canceled_by_admin,"Yes, retired union member",USW,3273,,Black / of African Descent,No,,Yes,335998,San Francisco,,ME_02,08221 Gonzalez Street,Suite 504,Adamstown,NJ,94152,US,,
Jennifer,,Krause,arnoldlee@example.org,,,(410)891-3135,,,(410)891-3135,2016-12-25,2024-07-14,Member in Good Standing,M,income-based,canceled_by_admin,canceled_by_admin,"No, but former union member",,,,White / of European Descent,"Yes, college student",PCJTED - Empire High School,Membership card only,206378,San Francisco,,ME_01,014 Nash Islands,Apt. 832,New Shanefort,TN,94105,US,,
Kyle,,Pierce,staffordmichael@example.org,,,947-983-5617,,,947-983-5617,2020-05-11,2021-12-07,Lapsed,L,yearly,past_due,never,"No, not a union member",,,,Hispanic / Latinx,,,Yes,566438,San Francisco,,ME_01,91935 Hull Streets,Suite 678,East Richard,FM,94130,US,,
Rachael,,Erickson,kylecarpenter@example.com,,,,,,,2021-05-26,2024-01-09,Member in Good Standing,M,income-based,canceled_by_admin,canceled_by_failure,"Yes, retired union member",UFCW,2292,,Other,"Yes, high school student",Woodstation Elementary School,Yes,888132,San Francisco,,ME_01,32190 Krystal Lake,Apt. 807,New Nancy,GU,94119,US,,
Kayla,,Meyer,andrewsgregory@example.org,,,,516-690-2033,,516-690-2033,2021-07-20,2023-01-21,Member,M,annual,canceled_by_processor,canceled_by_user,,,,,Jewish,,,Membership card only,322194,San Francisco,,ME_01,60029 Irwin Mills,Suite 061,Williamsbury,PR,94161,US,,
Zoe,,Hernandez,jessicagross@example.org,,,2145695824,(623)364-4750,,2145695824,2020-02-19,2022-02-12,Lapsed,L,annual,canceled_by_failure,never,"No, not a union member",,,,Asian,,,Membership card only,784245,San Francisco,,ME_02,07898 Johnson Fork,Apt. 997,Antoniotown,NH,94108,US,,
Monica,,Nunez,debrawhite@example.org,,,(724)394-6637,805-756-4442,,(724)394-6637,2016-05-26,2018-01-12,Lapsed,L,yearly,canceled_by_processor,canceled_by_processor,"No, not a union member",,,,West Asian / Middle Eastern,No,,No,678427,San Francisco,,ME_01,85012 Samuel Junctions,Suite 743,New Michaelfort,NE,94116,US,,
Nicholas,Kimberly,Martin,gshaffer@example.net,,,736-286-5546,,,736-286-5546,2020-06-21,2022-07-26,Lapsed,L,monthly,canceled_by_processor,canceled_by_admin,"Yes, retired union member",SEIU,5204,,Prefer Not to Say,"Yes, graduate student",Gardena Elementary,No,935043,San Francisco,,ME_02,710 Veronica Ports,Apt. 542,West Benjamin,MS,94119,US,,
Lonnie,,Osborne,halljason@example.com,,,,,,,2021-04-18,2024-12-29,Member in Good Standing,M,income-based,canceled_by_admin,never,"No, not a union member",,,,Other,No,,Yes,615704,San Francisco,,ME_01,7910 Denise Squares,Suite 138,Jasonville,CA,94140,US,,
Steven,Nichole,Carney,robert30@example.org,,,,8844298911,,8844298911,2016-06-25,2018-03-09,Lapsed,L,annual,canceled_by_failure,canceled_by_processor,Currently organizing my workplace,,,,Prefer Not to Say,"Yes, graduate student",DENNIS CHAVEZ ELEMENTARY,Membership card only,241953,San Francisco,,ME_01,75427 Amanda Ferry,Suite 364,Lake Meagan,VI,94177,US,,
Joseph,,Hopkins,ernesthansen@example.com,,,,,,,2020-06-07,2023-01-12,Member,M,annual,past_due,never,"No, but former union member",,,,Other,No,,Membership card only,617049,San Francisco,,ME_01,07924 Curtis Curve,Suite 951,East Reginafurt,VI,94101,US,,
Denise,,Adams,hallmichael@example.net,,,,,,,2022-05-12,2024-12-18,Member in Good Standing,M,annual,canceled_by_failure,active,"No, but former union member",,,,Other,"Yes, high school student",Mt. View Elementary,No,378492,San Francisco,,ME_01,75294 Allison Pike,Suite 816,South Meagan,SD,94111,US,,
Melissa,Renee.,Wagner,wgallagher@example.net,,TRUE,848-280-6593,686-240-4251,,848-280-6593,2023-01-16,2024-02-14,Member in Good Standing,M,one-time,canceled_by_failure,canceled_by_user,"Yes, current union member",AFSCME,3435,,Hispanic / Latinx,"Yes, graduate student",Chawanakee Academy Charter,Membership card only,401648,San Francisco,,ME_01,040 Palmer Plain,Suite 703,North Ashleyview,TN,94188,US,,
Todd,,Murray,campbellmario@example.net,,,6754457555,,,6754457555,2019-11-27,2021-01-12,Lapsed,L,income-based,canceled_by_processor,,Currently organizing my workplace,,,,West Asian / Middle Eastern,"Yes, high school student",Mary A Otondo Elementary School,Membership card only,396724,San Francisco,,ME_01,096 Scott Roads,Apt. 498,North Joshua,WA,94137,US,,
Alicia,,Brooks,ronaldphillips@example.com,,,(625)566-9988,927-865-9252,,(625)566-9988,2016-07-25,2018-07-15,Lapsed,L,annual,canceled_by_admin,,"No, not a union member",,,,Asian,"Yes, graduate student",Community of Peace Academy Elem,Membership card only,526093,San Francisco,,ME_01,204 Ashley Brook,Apt. 835,East Jessica,AK,94109,US,,
Lisa,,Sellers,christine37@example.org,,,(777)412-4638,429-275-9096,,(777)412-4638,2022-07-20,2024-02-02,Member in Good Standing,M,yearly,canceled_by_failure,canceled_by_admin,Currently organizing my workplace,,,,West Asian / Middle Eastern,"Yes, college student",JAMES MADISON HIGH SCHOOL,Yes,868202,San Francisco,,ME_02,60628 Wilson Unions,Apt. 064,Kristineland,MP,94104,US,,
Debra,,Parker,andersontammy@example.com,,,,(753)697-4680,,(753)697-4680,2018-08-16,2019-09-24,Lapsed,L,monthly,canceled_by_admin,never,"Yes, retired union member",UFCW,4236,,Prefer Not to Say,No,,Membership card only,284032,San Francisco,,ME_01,40105 Macdonald Keys,Apt. 604,Moraberg,NE,94115,US,,
Crystal,Emily,Thornton,brownanna@example.net,,,,252-223-8752,,252-223-8752,2023-04-26,2025-04-21,Member in Good Standing,M,annual,canceled_by_failure,never,Currently organizing my workplace,,,,Native American / Indigenous,"Yes, high school student",Piper School,No,585736,San Francisco,,ME_01,58515 Julie Groves,Suite 351,Lisastad,SD,94150,US,,
Christina,,Silva,qjones@example.net,,,,,,,2016-10-18,2022-02-28,Lapsed,L,one-time,canceled_by_processor,never,"No, but former union member",,,,Prefer Not to Say,"Yes, college student",MIDDLE COLLEGE HIGH SCHOOL CHARTER - GALLUP,No,172949,San Francisco,,ME_02,399 Kendra Ranch,Suite 508,Harrisonborough,DE,94105,US,,
Rhonda,,Williams,mitchellrachael@example.org,,,,(756)817-7299,,(756)817-7299,2022-02-09,2024-12-01,Member in Good Standing,M,one-time,active,canceled_by_processor,"No, but former union member",,,,West Asian / Middle Eastern,"Yes, college student",John Glenn High School,No,235899,San Francisco,,ME_01,9250 Garcia Islands,Apt. 672,East Michelle,AS,94131,US,,
Denise,,Brown,pearsongordon@example.com,,,(590)570-9345,,,(590)570-9345,2021-04-30,2022-05-16,Lapsed,L,annual,lapsed,canceled_by_user,Currently organizing my workplace,,,,Native American / Indigenous,"Yes, graduate student",Eva School,Yes,387531,San Francisco,,ME_02,4664 Jeffery Centers,Suite 940,Martinville,DE,94124,US,,
Danielle,,Thompson,xjohnson@example.com,True,,,492-547-6408,,492-547-6408,2018-11-18,2020-04-20,Lapsed,L,one-time,canceled_by_processor,canceled_by_failure,"Yes, retired union member",UFCW,5812,,West Asian / Middle Eastern,"Yes, college student",Foley Elementary School,Yes,554612,San Francisco,,ME_01,45225 Rich Mission,Suite 812,New Brucehaven,AZ,94130,US,,
Lance,Brianna,Bush,mwilliams@example.org,,TRUE,,6765236403,,6765236403,2019-07-16,2020-12-31,Lapsed,L,yearly,lapsed,canceled_by_user,"No, but former union member",,,,Pacific Islander,"Yes, high school student",LAKE PRESCHOOL,No,830349,San Francisco,,ME_02,09627 Key Isle,Suite 677,Wardchester,IA,94105,US,,
Ashley,,Cole,joe09@example.org,,,,,,,2022-05-03,2023-08-10,Member,M,yearly,canceled_by_processor,canceled_by_user,"Yes, retired union member",NEA,712,,Asian,No,,Membership card only,718871,San Francisco,,ME_01,5554 Jerome Glen,Apt. 307,Anthonyshire,SC,94108,US,,
Caitlyn,,Parker,vkramer@example.net,,,5896875784,,,5896875784,2020-11-29,2024-08-02,Member in Good Standing,M,one-time,canceled_by_processor,canceled_by_processor,Currently organizing my workplace,,,,Other,"Yes, college student",West Pender Middle,No,197606,San Francisco,,ME_02,7309 Andrea Village,Suite 383,Kimberlyfort,OK,94101,US,,
Jeffrey,,Crawford,kaitlyn27@example.org,,,8437751383,(303)834-4579,,8437751383,2023-04-14,2024-12-10,Member in Good Standing,M,monthly,canceled_by_failure,active,"No, not a union member",,,,Asian,,,Yes,127718,San Francisco,,ME_01,169 Stout Station,Apt. 628,East Kelseyport,TX,94103,US,,
Anita,,Francis,rogersalexander@example.com,,,,,,,2020-04-30,2024-06-20,Member in Good Standing,M,yearly,past_due,canceled_by_failure,"No, but former union member",,,,Native American / Indigenous,"Yes, college student",Community School,No,155344,San Francisco,,ME_02,2245 Robinson Groves,Suite 429,Sandraburgh,TN,94017,US,,
Jennifer,,Scott,nicole48@example.com,True,,,3017003405,,3017003405,2019-01-14,2023-07-07,Member,M,income-based,canceled_by_admin,,"No, but former union member",,,,Hispanic / Latinx,"Yes, college student",GABINO SOTO,Membership card only,338692,San Francisco,,ME_02,568 Nicholas Trail,Suite 768,West Lisaview,PA,94144,US,,
Rebecca,,Payne,thomasgonzalez@example.org,,,6896939793,,,6896939793,2016-01-14,2022-07-27,Lapsed,L,yearly,canceled_by_failure,canceled_by_failure,Currently organizing my workplace,,,,Black / of African Descent,,,Yes,920256,San Francisco,,ME_02,093 Murray Forges,Apt. 739,South Samanthaburgh,IL,94175,US,,
Daniel,,Owen,karichen@example.com,,,902-428-1067,,,902-428-1067,2016-01-09,2017-09-09,Lapsed,L,annual,canceled_by_admin,canceled_by_failure,"No, not a union member",,,,Black / of African Descent,"Yes, college student",Pacheco Elementary,Membership card only,714467,San Francisco,,ME_02,080 Richardson Divide,Suite 709,Dianeborough,NY,94139,US,,
Richard,,Davis,dennisanderson@example.com,,TRUE,349-663-1941,209-318-2028,,349-663-1941,2018-12-27,2020-08-11,Lapsed,L,annual,canceled_by_admin,,"No, but former union member",,,,Pacific Islander,"Yes, high school student",Pakachoag School,Membership card only,783259,San Francisco,,ME_01,76667 Wayne Corner,Suite 122,South Jeffery,AZ,94138,US,,
Rose,,Lowe,reneemiller@example.org,,TRUE,597-750-4030,,,597-750-4030,2018-05-27,2019-07-20,Lapsed,L,monthly,canceled_by_admin,canceled_by_admin,"No, but former union member",,,,Other,"Yes, graduate student",SUPERIOR ACADEMY,Membership card only,158609,San Francisco,,ME_01,608 Peter Harbor,Suite 045,North Sandramouth,LA,94112,US,,
Dawn,,Cherry,sandrabush@example.org,,,753-953-3409,6356120063,,753-953-3409,2021-03-25,2022-09-24,Lapsed,L,income-based,canceled_by_admin,canceled_by_user,"Yes, current union member",LIUNA,5769,,Asian,"Yes, college student",Flynn (Leonard R.) Elementary,Membership card only,232726,San Francisco,,ME_02,46990 Brian Oval,Apt. 063,Danielmouth,MS,94130,US,,
Michael,Richard,Mason,gregoryporter@example.net,,,860-838-0097,6692924341,,860-838-0097,2020-11-10,2022-02-06,Lapsed,L,one-time,canceled_by_admin,never,"No, but former union member",,,,West Asian / Middle Eastern,"Yes, high school student",Marshall Metropolitan High School,Membership card only,921104,San Francisco,,ME_02,593 Sanchez Fall,Apt. 636,New Jason,TX,94156,US,,
Jennifer,,Brown,daltonstephen@example.net,,,4298539894,,,4298539894,2016-05-07,2022-05-15,Lapsed,L,income-based,past_due,canceled_by_processor,"No, but former union member",,,,Jewish,No,,Yes,825266,San Francisco,,ME_01,83407 Burke Stream,Apt. 075,New Calebside,MO,94158,US,,
